MapName,RosTime,WallTime,NPointclouds,MeanError,StdDevError,RMSE,UnknownVoxels,OutsideTruncation,Volume
Unit,seconds,seconds,-,meters,meters,meters,percent,percent,m3
00000,0.7399999999999949,3.045567274093628,1,0,0,0,1,0,0
00001,31.135999999999996,79.9023506641388,152,0.327831,0.196582,0.38215,0.995074,0,0
00002,61.111999999999995,159.00666522979736,139,0.27668,0.189444,0.335312,0.949182,0,0
00003,91.12799999999999,227.74592399597168,142,0.311406,0.198635,0.369357,0.918675,0,0
00004,121.11599999999999,306.4193305969238,125,0.342962,0.197129,0.395576,0.864374,0,0
00005,151.12,377.9761941432953,122,0.346679,0.195764,0.39813,0.807408,0,0
00006,181.112,452.7173502445221,124,0.333604,0.18976,0.383796,0.763999,0,0
00007,211.11200000000002,529.0797951221466,140,0.329432,0.18927,0.37993,0.743557,0,0
00008,241.11200000000002,606.2677581310272,126,0.327501,0.18994,0.378593,0.739398,0,0
00009,271.112,675.4896719455719,123,0.323351,0.190506,0.375296,0.717825,0,0
00010,301.12,748.1897943019867,160,0.320921,0.190677,0.373292,0.703813,0,0
00011,331.116,827.5194504261017,137,0.329511,0.19061,0.380669,0.687772,0,0
00012,361.112,929.0682513713837,146,0.325112,0.190486,0.376804,0.649037,0,0
00013,391.112,1000.5546238422394,142,0.319929,0.190094,0.372142,0.627616,0,0
00014,421.112,1072.568410396576,139,0.314861,0.189652,0.367566,0.622074,0,0
00015,451.11600000000004,1148.2226257324219,150,0.308864,0.188725,0.361957,0.617279,0,0
00016,481.11600000000004,1221.5103187561035,150,0.306544,0.188811,0.360025,0.603448,0,0
00017,511.112,1290.5750975608826,116,0.306461,0.188905,0.360003,0.599219,0,0
00018,541.1120000000001,1365.3494012355804,114,0.307847,0.18831,0.360873,0.594262,0,0
00019,571.116,1447.812405347824,189,0.308091,0.188447,0.361153,0.594262,0,0
00020,601.1120000000001,1523.0284037590027,160,0.30829,0.188494,0.361347,0.594151,0,0
00021,631.1120000000001,1608.7103116512299,152,0.309278,0.188523,0.362206,0.594111,0,0
00022,661.136,1689.7327065467834,169,0.309431,0.188609,0.362381,0.59407,0,0
00023,691.172,1776.9755532741547,169,0.309178,0.188396,0.362054,0.59407,0,0
00024,721.1120000000001,1879.7520022392273,182,0.309167,0.188412,0.362053,0.59407,0,0
00025,751.1279999999999,1957.161779642105,140,0.309127,0.188487,0.362058,0.593979,0,0
00026,781.1120000000001,2027.8792235851288,127,0.309016,0.188176,0.361801,0.593333,0,0
00027,811.1120000000001,2098.7517998218536,134,0.311456,0.187354,0.363463,0.593061,0,0
00028,841.1120000000001,2177.963340997696,128,0.311744,0.187301,0.363683,0.59294,0,0
00029,871.1120000000001,2249.74156165123,130,0.310021,0.186929,0.362015,0.588952,0,0
00030,901.1120000000001,2329.523113965988,164,0.309488,0.186892,0.361539,0.588932,0,0
00031,931.116,2411.860650539398,133,0.308892,0.187062,0.361117,0.588387,0,0
00032,961.1119999999999,2490.0030410289764,139,0.308861,0.18707,0.361095,0.588387,0,0
00033,991.1199999999999,2568.6913511753082,146,0.308383,0.187064,0.360683,0.588377,0,0
00034,1021.1319999999998,2641.6312329769135,158,0.308376,0.186998,0.360643,0.587963,0,0
00035,1051.12,2717.558530330658,155,0.308412,0.187065,0.360708,0.587902,0,0
00036,1081.124,2790.337747812271,173,0.308412,0.187065,0.360708,0.587902,0,0
00037,1111.116,2887.9611265659332,187,0.308411,0.187065,0.360708,0.587902,0,0
00038,1141.124,2963.3997638225555,152,0.308402,0.18708,0.360708,0.587902,0,0
00039,1171.1119999999999,3043.5149223804474,171,0.308467,0.187123,0.360785,0.587821,0,0
00040,1201.1119999999999,3137.5038356781006,174,0.307492,0.187089,0.359934,0.583804,0,0
00041,1231.1119999999999,3233.082142353058,144,0.306221,0.187427,0.359025,0.582663,0,0
00042,1261.1119999999999,3307.017349243164,129,0.306803,0.18751,0.359565,0.581724,0,0
00043,1291.128,3398.9457442760468,132,0.307083,0.187239,0.359663,0.581684,0,0
00044,1321.1119999999999,3471.9190289974213,135,0.307873,0.186763,0.360091,0.581552,0,0
00045,1351.1119999999999,3547.388351917267,122,0.309356,0.18639,0.361166,0.58131,0,0
00046,1381.116,3627.4663984775543,132,0.310153,0.18645,0.36188,0.580028,0,0
00047,1411.128,3699.52907371521,137,0.30986,0.18632,0.361563,0.579867,0,0
00048,1441.1119999999999,3791.3106462955475,163,0.309331,0.186026,0.360958,0.579867,0,0
00049,1471.1119999999999,3871.1872148513794,157,0.308984,0.185897,0.360594,0.579867,0,0
00050,1501.148,3968.416673898697,160,0.308501,0.18573,0.360094,0.579867,0,0
00051,1531.124,4107.3019325733185,188,0.308324,0.185658,0.359905,0.579867,0,0
00052,1561.116,4181.26252579689,129,0.310259,0.18607,0.361776,0.579382,0,0
00053,1591.116,4257.66717839241,124,0.310498,0.186256,0.362077,0.579382,0,0
00054,1621.1119999999999,4334.505161762238,183,0.310482,0.186243,0.362057,0.579382,0,0
00055,1651.1319999999998,4415.221388578415,129,0.31126,0.186617,0.362916,0.579261,0,0
00056,1681.1119999999999,4491.982723474503,158,0.311463,0.186804,0.363186,0.579261,0,0
00057,1711.128,4568.255352497101,134,0.311562,0.186845,0.363292,0.579261,0,0
00058,1741.1119999999999,4652.749348163605,142,0.311805,0.186971,0.363566,0.579261,0,0
00059,1771.1119999999999,4774.496479988098,144,0.311944,0.187043,0.363721,0.579251,0,0
00060,1801.1119999999999,4849.904276371002,138,0.311919,0.187041,0.3637,0.579251,0,0
