MapName,RosTime,WallTime,NPointclouds,MeanError,StdDevError,RMSE,UnknownVoxels,OutsideTruncation,Volume
Unit,seconds,seconds,-,meters,meters,meters,percent,percent,m3
00000,1.391999999999996,2.991896152496338,1,0,0,0,1,0,0
00001,32.420000000000016,85.68735671043396,156,0.278811,0.212064,0.350274,0.970119,0,0
00002,62.424000000000035,153.78487849235535,125,0.280415,0.19029,0.33888,0.898485,0,0
00003,92.42000000000002,232.88943886756897,127,0.290576,0.190653,0.347535,0.846455,0,0
00004,122.42400000000004,308.11899304389954,125,0.291121,0.189256,0.347227,0.82676,0,0
00005,152.42000000000002,376.4995119571686,125,0.282566,0.187138,0.338913,0.788803,0,0
00006,182.428,448.9290294647217,130,0.276225,0.184663,0.332263,0.774942,0,0
00007,212.43599999999998,543.5546925067902,136,0.286142,0.190094,0.343528,0.746707,0,0
00008,242.42000000000002,661.3754878044128,136,0.292389,0.193085,0.350388,0.734734,0,0
00009,272.468,727.7362987995148,125,0.297868,0.193828,0.355378,0.730777,0,0
00010,302.42,793.6851763725281,126,0.317625,0.192862,0.371592,0.67266,0,0
00011,332.42,852.7449626922607,113,0.321199,0.193894,0.375183,0.644586,0,0
00012,362.42,914.954244852066,125,0.314295,0.189679,0.367095,0.636005,0,0
00013,392.46,976.3678505420685,119,0.311493,0.187199,0.363415,0.615623,0,0
00014,422.42800000000005,1046.186586856842,131,0.309058,0.184894,0.360141,0.600723,0,0
00015,452.42800000000005,1117.469734430313,142,0.304581,0.183439,0.355554,0.586923,0,0
00016,482.42,1175.7338061332703,133,0.302352,0.183017,0.353428,0.585722,0,0
00017,512.4280000000001,1234.0506129264832,149,0.301958,0.183036,0.3531,0.585712,0,0
00018,542.432,1292.2771878242493,157,0.301961,0.183098,0.353136,0.58556,0,0
00019,572.424,1352.2611665725708,161,0.301991,0.183132,0.353179,0.585489,0,0
00020,602.424,1412.1990349292755,170,0.301994,0.183133,0.353182,0.585489,0,0
00021,632.4760000000001,1501.475928068161,174,0.301961,0.18315,0.353162,0.585489,0,0
00022,662.4480000000001,1595.3972764015198,190,0.301961,0.18315,0.353162,0.585489,0,0
00023,692.424,1688.3082716464996,179,0.301961,0.18315,0.353162,0.585489,0,0
00024,722.424,1792.890875339508,150,0.301961,0.18315,0.353162,0.585489,0,0
00025,752.4200000000001,1867.3294990062714,148,0.301961,0.18315,0.353162,0.585489,0,0
00026,782.4200000000001,1930.778584241867,141,0.301961,0.18315,0.353162,0.585489,0,0
00027,812.4200000000001,2008.9107329845428,147,0.301961,0.18315,0.353162,0.585489,0,0
00028,842.52,2091.907991170883,154,0.301961,0.18315,0.353162,0.585489,0,0
00029,872.4280000000001,2177.883114337921,147,0.301961,0.18315,0.353162,0.585489,0,0
00030,902.5120000000002,2274.5170850753784,158,0.301961,0.18315,0.353162,0.585489,0,0
00031,932.4200000000001,2351.1267750263214,136,0.301961,0.18315,0.353162,0.585489,0,0
00032,962.46,2450.46005654335,151,0.301961,0.18315,0.353162,0.585489,0,0
00033,992.4200000000001,2519.0971913337708,141,0.301961,0.18315,0.353162,0.585489,0,0
00034,1022.424,2620.3291800022125,156,0.301961,0.18315,0.353162,0.585489,0,0
00035,1052.42,2700.964159488678,150,0.301961,0.18315,0.353162,0.585489,0,0
00036,1082.42,2769.3210005760193,132,0.301961,0.18315,0.353162,0.585489,0,0
00037,1112.42,2840.1157195568085,146,0.301961,0.18315,0.353162,0.585489,0,0
00038,1142.42,2933.5681314468384,150,0.301961,0.18315,0.353162,0.585489,0,0
00039,1172.444,3001.315642595291,142,0.301961,0.18315,0.353162,0.585489,0,0
00040,1202.428,3094.7005462646484,149,0.301961,0.18315,0.353162,0.585489,0,0
00041,1232.42,3170.4393162727356,142,0.301961,0.18315,0.353162,0.585489,0,0
00042,1262.42,3245.0090851783752,146,0.301961,0.18315,0.353162,0.585489,0,0
00043,1292.428,3314.7769832611084,137,0.301961,0.18315,0.353162,0.585489,0,0
00044,1322.424,3422.229597091675,155,0.301961,0.18315,0.353162,0.585489,0,0
00045,1352.424,3496.0807795524597,138,0.301961,0.18315,0.353162,0.585489,0,0
00046,1382.44,3566.5193581581116,135,0.301961,0.18315,0.353162,0.585489,0,0
00047,1412.46,3637.815564393997,147,0.301961,0.18315,0.353162,0.585489,0,0
00048,1442.42,3728.6998958587646,157,0.301961,0.18315,0.353162,0.585489,0,0
00049,1472.42,3803.5152933597565,145,0.301961,0.18315,0.353162,0.585489,0,0
00050,1502.428,3894.4386718273163,157,0.301961,0.18315,0.353162,0.585489,0,0
00051,1532.424,3958.5270869731903,134,0.301961,0.18315,0.353162,0.585489,0,0
00052,1562.42,4025.8586950302124,138,0.301961,0.18315,0.353162,0.585489,0,0
00053,1592.42,4099.390003919601,149,0.301961,0.18315,0.353162,0.585489,0,0
00054,1622.4360000000001,4182.637332677841,150,0.301961,0.18315,0.353162,0.585489,0,0
00055,1652.4360000000001,4257.247592687607,146,0.301961,0.18315,0.353162,0.585489,0,0
00056,1682.516,4379.235041856766,165,0.301961,0.18315,0.353162,0.585489,0,0
00057,1712.432,4453.789940357208,139,0.301961,0.18315,0.353162,0.585489,0,0
00058,1742.428,4518.662454366684,139,0.301961,0.18315,0.353162,0.585489,0,0
00059,1772.4240000000002,4582.1527535915375,131,0.301961,0.18315,0.353162,0.585489,0,0
00060,1802.428,4643.62731051445,133,0.301961,0.18315,0.353162,0.585489,0,0
